wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q107353685,Anastasia Anthousi,Anastasia Anthousi,female,1977-01-01,9,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-30,Q107353618,DEPUTY MINISTER OF SOCIAL WELFARE,2021-07-09,Q107353685-3321E08E-BC64-4EA0-8D46-802CCEEA2BDB
Q107355506,Marios Pelekanos,Marios Pelekanos,male,1979-08-21,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q16331171,GOVERNMENT SPOKESMAN,2021-07-02,Q107355506-609B4529-9A8B-4FC9-AED1-45042C209995
Q107355932,Stephie Dracos,Stephi Drakou,female,,,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q65553099,MINISTER OF JUSTICE AND PUBLIC ORDER,2021-07-02,Q107355932-ECBC4351-5798-4391-8403-C0611AFBFDD7
Q107355967,Michalis Hadjipantela,Michalis Catzipantelas,male,,,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-30,Q65600632,MINISTER OF HEALTH,2021-07-02,Q107355967-93CDECBD-0B5E-4775-BEDC-E86A6F907CC1
Q109497781,Theodosis A. Tsiolas,Theodosis A. Tsiolas,male,,,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-11-09,Q109497784,SECRETARY / COUNCIL OF MINISTERS,2018-03-01,Q109497781-19F48E39-74B9-4664-B83C-13C52C127510
Q109497789,Niovi Parisinou,Niovi Parisinou,female,,,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-11-09,Q109497790,DEPUTY GOVERNMENT SPOKESWOMAN,2018-03-01,Q109497789-C306241C-B9C5-4BE4-8A20-E76A369A6CCB
Q1671928,Ioannis Kasoulides,Ioannis Kasoulidis,male,1948-08-10,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2022-01-13,Q25309937,MINISTER OF FOREIGN AFFAIRS,2022-01-11,Q1671928-6a4707ac-4ab3-6307-245a-c048c331af38
Q2112764,Nicos Anastasiades,Nikos Anastasiades,male,1946-09-27,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q841760,President,2013-02-28,Q2112764-23d35f8d-4b45-7879-f20d-24443c53810a
Q50364730,Constantinos Petrides,Konstantinos Petrides,male,1974-07-01,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2022-01-19,Q25322241,MINISTER OF FINANCE,2019-12-03,Q50364730-AB01165B-C720-4384-8AD9-CFECD39A3AAA
Q50364839,Zeta Emilianidou,Zéta Aimilianídou,female,1954-09-02,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q65554930,"MINISTER OF LABOUR, WELFARE AND SOCIAL INSURANCE",2014-04-14,Q50364839-82E48DF2-F094-4EFA-A667-F5A3900BFC44
